nameOfPlace,lat,lng,avg_rate_of_place,avg_hours_of_place,avg_ages_of_place,count_of_post_added_to_place
Vondelpark BBQ Zone,52.35577214,4.856450511,0,0,0,0
Cafe Sao Paulo,52.35742057,4.854676722,0,0,0,0
NJMT,52.36013729,4.856608087,0,0,0,0
Olympisch Stadion,52.34338878,4.854090214,0,0,0,0
Phanos Atletiek,52.34338878,4.855399132,0,0,0,0
P+R Olympisch Stadion,52.34403216,4.856606875,0,0,0,0
Butcher's Tears Brewery,52.3473,4.853831,0,0,0,0
Eiland,52.35129001,4.855870425,0,0,0,0
Het Spoor,52.34946045,4.855602252,0,0,0,0
"Zwembad ""Het Kwartier""",52.34563151,4.855021172,0,0,0,0
Sporthallen Zuid,52.33997373,4.854133129,0,0,0,0
Frans Otten Stadion,52.33919368,4.851429462,0,0,0,0
TCS Mizuno Half Marathon,52.34525953,4.858626081,0,0,0,0
The White House,52.34065695,4.8510054,0,0,0,0
CTO Olympisch Stadion #14,52.34451217,4.852954,0,0,0,0
Olympisch Stadion,52.34110593,4.85763499,0,0,0,0
Startvak 21km,52.34449648,4.857574337,0,0,0,0
Casa Di Koalino Piccolo,52.342975,4.857894,0,0,0,0
Borrelbar,52.34473513,4.857622152,0,0,0,0
Amstelpark tennis,52.33095788,4.852397197,0,0,0,0
DLA Piper Bar,52.33411743,4.855877108,0,0,0,0
Smashing Pink,52.33094353,4.851802752,0,0,0,0
block around the clock,52.34011078,4.854157448,0,0,0,0
Feestboot,52.413544,4.86303,0,0,0,0
Noorder-IJplas,52.42428948,4.864089489,0,0,0,0
IGMA,52.40172733,4.860923231,0,0,0,0
Ons Genoegen,52.39080521,4.860577326,0,0,0,0
Danstheater AYA,52.394046,4.856448,0,0,0,0
A Lisa Kluis,52.390818,4.856695,0,0,0,0
ART4U kunstuitleen,52.39494631,4.864995878,0,0,0,0
Globe Centers,52.39459991,4.866065502,0,0,0,0
Buurtboederij,52.390743,4.860608,0,0,0,0
Molen De Bloem,52.3847548,4.86020565,0,0,0,0
Gibraltarbadje,52.383369,4.85447003,0,0,0,0
Sint Barbara,52.391429,4.863128,0,0,0,0
't Sterntje,52.38084379,4.854049096,0,0,0,0
Kids Pitstop,52.38100747,4.853870352,0,0,0,0
Studio K Amsterdam,52.380881,4.85409,0,0,0,0
Staverno Jachtwerf,52.3823666,4.860187805,0,0,0,0
Jam studios Amsterdam,52.38484327,4.866992485,0,0,0,0
Schietsportvereniging,52.383502,4.86374,0,0,0,0
Dog Walk WDZ,52.37987676,4.86123577,0,0,0,0
Kinderboerderij Zimmerhoeve,52.3687309,4.864313,0,0,0,0
Edelwise,52.36438178,4.859429,0,0,0,0
HJS Henny Jurriens Stichting,52.36658619,4.865108045,0,0,0,0
Global Dance  Lab,52.36475797,4.86451703,0,0,0,0
2 Klaveren,52.37005015,4.865473087,0,0,0,0
Vondelpark dog playground,52.35671121,4.86095328,0,0,0,0
Emmaplein,52.35444518,4.863142615,0,0,0,0
Marathonweg - coffee - grill - bar,52.348562,4.860709,0,0,0,0
Nieuw Amsterdams Kinderkoor,52.34784966,4.863903403,0,0,0,0
De Hut,52.34641016,4.865717776,0,0,0,0
Begraafplaats Buitenveldert,52.34071666,4.861555481,0,0,0,0
Home Sweet Home,52.350254,4.860231,0,0,0,0
Droom,52.3513786,4.862961375,0,0,0,0
van der Cammen Residence de super-ultraluxe,52.3513824,4.862982,0,0,0,0
ActaBar,52.336101,4.861546,0,0,0,0
Total Tossers - magneet festival,52.41377466,4.87082285,0,0,0,0
The Partysquad Studio,52.4151029,4.873258375,0,0,0,0
Collectiecentrum,52.41358458,4.872071743,0,0,0,0
S.V. Vriendschap,52.41926452,4.87251699,0,0,0,0
Lex' Mens Boat,52.408514,4.871329,0,0,0,0
bankje aan het IJ,52.4099,4.8744,0,0,0,0
Mercuriushaven,52.40233844,4.871409855,0,0,0,0
De Pier,52.40982808,4.87449646,0,0,0,0
Thuishaven,52.397841,4.871721,0,0,0,0
Etnies OTF,52.397517,4.872342,0,0,0,0
Bloemendaal,52.39273697,4.868750625,0,0,0,0
Orkater,52.396749,4.869737,0,0,0,0
Kijkende Figuur,52.39259582,4.86282751,0,0,0,0
take me out,52.39906996,4.871603254,0,0,0,0
Gebroken Cirkel,52.39281516,4.866758287,0,0,0,0
Tuinpark Zonnehoek,52.393747,4.868945,0,0,0,0
Wine 3,52.39266014,4.86835442,0,0,0,0
David's Boat,52.394395,4.870492,0,0,0,0
"3 sculpturen ""Bredius Sportcentrum""",52.39312942,4.869982302,0,0,0,0
Igma,52.39769719,4.873732755,0,0,0,0
Op het balkon luisteren naar dj's van strand west,52.39297764,4.872145334,0,0,0,0
De Beverburcht,52.39265442,4.872519016,0,0,0,0
George's Garage,52.396834,4.875921,0,0,0,0
Het Ketelhuis,52.38628871,4.87350556,0,0,0,0
Kinderboerderij Westerpark,52.3873508,4.865414,0,0,0,0
Klaver's Loft,52.38369693,4.872007977,0,0,0,0
Brel,52.38416499,4.869977898,0,0,0,0
Kallenbach Gallery,52.386114,4.873807,0,0,0,0
Qult,52.38715576,4.870375239,0,0,0,0
Unruly Gallery,52.383915,4.872184,0,0,0,0
Acteer Academie Amsterdam,52.384449,4.869142,0,0,0,0
Medialab Cinekid,52.38607805,4.872355151,0,0,0,0
Cinekid festival,52.3859974,4.872392663,0,0,0,0
Van Hogendorphal,52.38135406,4.86771028,0,0,0,0
Frederik Hendrikplantsoen,52.37822188,4.87489439,0,0,0,0
Van Boetzelaerstraat,52.38243556,4.87255947,0,0,0,0
Brug Van Hallstraat,52.37824829,4.873125617,0,0,0,0
De Liefde,52.37228487,4.870601892,0,0,0,0
Mono,52.37209152,4.871012964,0,0,0,0
Hostel Alejandro,52.36981911,4.870763582,0,0,0,0
Tweede Marnixplantsoen,52.37443455,4.875970742,0,0,0,0
Ski inn,52.36451558,4.870591164,0,0,0,0
Cafe De Toog,52.362058,4.867719,0,0,0,0
Plan B,52.36087285,4.87021029,0,0,0,0
Bar Berlijn,52.36955394,4.873679587,0,0,0,0
Toomler | Comedytrain,52.3515681,4.873155355,0,0,0,0
Verhulst,52.35451848,4.872220194,0,0,0,0
Oliver's,52.3374343,4.871005658,0,0,0,0
Boelelaan,52.33431403,4.870694271,0,0,0,0
V.V. OSV,52.42215772,4.881281652,0,0,0,0
Davey's SM kelder,52.42654656,4.874007594,0,0,0,0
De Luim Show,52.42111,4.877093,0,0,0,0
Camping het Rietveen,52.4293472,4.874466,0,0,0,0
Yeni rakı home party,52.41977378,4.8796033,0,0,0,0
In de boom,52.42242814,4.883146823,0,0,0,0
Melkweg,52.41760618,4.881294853,0,0,0,0
Next Monday's Hangover Festival,52.402177,4.875249,0,0,0,0
Georgie's Wunder Garten,52.402076,4.87503,0,0,0,0
Minervahaven Te Water,52.400062,4.875025,0,0,0,0
Danzigerbocht,52.400692,4.876717,0,0,0,0
Strand West,52.394038,4.879491,0,0,0,0
Polanentheater,52.39086,4.876635,0,0,0,0
Dok 13,52.39744,4.8776,0,0,0,0
Dock 2013,52.39735969,4.87756961,0,0,0,0
WV 15,52.38950764,4.876507776,0,0,0,0
Ghetto Skatepark,52.393055,4.877668,0,0,0,0
Pauze,52.39130547,4.875914783,0,0,0,0
Cafe 't Hoekje,52.39092719,4.878261946,0,0,0,0
Steiger Houthaven,52.39408012,4.881304287,0,0,0,0
sisasteiger,52.39396577,4.8806537,0,0,0,0
Volkskoffiehuis,52.39156261,4.878373441,0,0,0,0
Chatêau Du PocketRat,52.391433,4.878554,0,0,0,0
De Kruidenier,52.3897,4.87644,0,0,0,0
Buur en Buuv Zon Terras,52.38908386,4.875555038,0,0,0,0
Het Marnix,52.37800196,4.878651211,0,0,0,0
Zaal 100,52.38301983,4.878202477,0,0,0,0
't Monumentje,52.378396,4.883222,0,0,0,0
Sound Garden,52.37289114,4.875810298,0,0,0,0
De Gouden Florijn,52.373789,4.881809,0,0,0,0
De Nieuwe Lelie,52.37528774,4.880929459,0,0,0,0
TommieB,52.3765902,4.881541592,0,0,0,0
Bar Oldenhof,52.36959,4.88057,0,0,0,0
Melkweg,52.36482246,4.881493335,0,0,0,0
The Waterhole,52.36477924,4.882522557,0,0,0,0
Lux,52.364831,4.880536,0,0,0,0
Weber,52.364933,4.880492,0,0,0,0
Suzy Wong,52.364896,4.882339,0,0,0,0
Cox,52.363923,4.881731,0,0,0,0
Het Concertgebouw,52.35636487,4.879313707,0,0,0,0
House of Bols Cocktail & Genever Experience,52.35901116,4.881332166,0,0,0,0
Rijksmuseum Garden,52.35952968,4.885150194,0,0,0,0
Zuiderbad,52.3585665,4.88601923,0,0,0,0
Van Gogh Mile Start Museum Square,52.35917586,4.883787632,0,0,0,0
De Nachtwacht painting,52.35996765,4.8852129,0,0,0,0
Chupitos,52.36166296,4.886698567,0,0,0,0
Koninklijk Concertgebouw Orkest,52.35481371,4.876278598,0,0,0,0
Apollohal,52.34862899,4.884320473,0,0,0,0
Tunes Bar,52.35854798,4.879126474,0,0,0,0
AFC,52.33662398,4.880375862,0,0,0,0
Manhattan Bar Lounge,52.33584374,4.874864448,0,0,0,0
Amsterdam Pirates,52.33868404,4.873033012,0,0,0,0
Circus Roncalli,52.33785229,4.87582102,0,0,0,0
BL46,52.33521863,4.88069818,0,0,0,0
P15 Parking Amsterdam RAI,52.3373713,4.877007008,0,0,0,0
Oktoberfest Amsterdam,52.335748,4.876461,0,0,0,0
Minervalaan thv WTC,52.34251458,4.872705589,0,0,0,0
Picknickbankje Stadionkade,52.34492928,4.875371796,0,0,0,0
Sofa@thuis,52.345861,4.868488,0,0,0,0
"Bar-Restaurant ""La Brochette""",52.324723,4.867611,0,0,0,0
't Kleine Loopveld,52.32205516,4.873230457,0,0,0,0
Free Friday Night Run,52.33825306,4.865494433,0,0,0,0
Toetanchamon (EXPO),52.33685998,4.872136116,0,0,0,0
Mijn moestuintje,52.42279816,4.885120869,0,0,0,0
Honden uitlaatplaats,52.42277881,4.885123459,0,0,0,0
Kinderboerderij Molenwijk,52.42271977,4.885021262,0,0,0,0
Hondenuitlaatstrook,52.42280058,4.885101322,0,0,0,0
Fontein bij Diereneiland,52.41667984,4.887832403,0,0,0,0
Uitlaatstrook,52.42283244,4.885087507,0,0,0,0
Planking Tree,52.42163479,4.886684418,0,0,0,0
Wiendelt and Esther's place,52.42510021,4.89025712,0,0,0,0
Natuurspeeltuin het Diereneiland,52.41680857,4.887548519,0,0,0,0
Museumwoning Tuindorp Oostzaan,52.41370237,4.884152412,0,0,0,0
Pierenbad Tuindorp,52.413666,4.88579,0,0,0,0
Badhuis- Bob Ross,52.412345,4.886869,0,0,0,0
HISWA te water,52.40347928,4.886577129,0,0,0,0
Amsterdam Marina,52.40501093,4.88694191,0,0,0,0
Ocean Diva,52.405581,4.885850645,0,0,0,0
Amsterdam Marina Haven,52.40543178,4.889890059,0,0,0,0
De Werf,52.40686745,4.894081163,0,0,0,0
Zeilscholen.nl Truck,52.402874,4.888313,0,0,0,0
Flora Palace Reunion @Recurrent Amsterdam,52.405901,4.886684,0,0,0,0
Wii U Launch,52.406448,4.887235,0,0,0,0
wooerland,52.40935516,4.888663769,0,0,0,0
Kabelgaststraat,52.40629367,4.893803939,0,0,0,0
Een Gezellig Tuin,52.40640481,4.893878553,0,0,0,0
NDSM-Werf,52.40019325,4.893293381,0,0,0,0
Submarine 4711,52.40004923,4.890632629,0,0,0,0
Houthaven,52.39369592,4.880667598,0,0,0,0
Oude Houthaven,52.39053537,4.885007511,0,0,0,0
Kermis,52.4021,4.893095,0,0,0,0
Haven Safari,52.3978558,4.884541864,0,0,0,0
Anh hung bulldog,52.39323732,4.881228168,0,0,0,0
Prinseneiland,52.38568068,4.887324475,0,0,0,0
Lighthouse,52.38770149,4.884645939,0,0,0,0
Tuintjes Houtmanstraat,52.38649664,4.884281158,0,0,0,0
Realengracht,52.38703359,4.886126518,0,0,0,0
Realeneiland,52.38707288,4.887392521,0,0,0,0
Hondenuitlaat Houtmanstraat,52.3873479,4.884517193,0,0,0,0
Westerkanaal,52.38691477,4.884122312,0,0,0,0
Nieuwe Teertuinen,52.38526557,4.885439873,0,0,0,0
't Blaauwhooft,52.383677,4.88883,0,0,0,0
De Kat in de Wijngaert,52.380191,4.884229,0,0,0,0
Proust,52.38013793,4.887558818,0,0,0,0
Proeflokaal Arendsnest,52.37664003,4.88958257,0,0,0,0
De Doffer,52.36895066,4.883766174,0,0,0,0
O'Reilly's,52.3725,4.89032,0,0,0,0
De Pels,52.36886709,4.885225362,0,0,0,0
Corner-House,52.374223,4.891303,0,0,0,0
Aran Irish Pub,52.362104,4.882484668,0,0,0,0
Bourbon Street,52.36386817,4.885329164,0,0,0,0
Hole in the Wall,52.364456,4.882647367,0,0,0,0
Mankind,52.3608571,4.888402414,0,0,0,0
AnElospito,52.35380961,4.889489918,0,0,0,0
Cafe Fonk,52.35122732,4.889388084,0,0,0,0
Museumplein vijver,52.35874996,4.883573055,0,0,0,0
Eddy Bar,52.35549752,4.890750692,0,0,0,0
Museumplein fontein,52.35902516,4.883272648,0,0,0,0
Strand Zuid,52.34142238,4.886813164,0,0,0,0
Zuidpool,52.341384,4.88657,0,0,0,0
Acs Koffie Corner,52.3410932,4.887393034,0,0,0,0
"Beach bar, IBC",52.34139982,4.886928533,0,0,0,0
ArtZuid,52.3505554,4.87271708,0,0,0,0
Christie's,52.353809,4.872614,0,0,0,0
Novotel Hotel Amsterdam,52.33384348,4.888463733,0,0,0,0
Beatrix Park Bball Courts,52.34260801,4.882646342,0,0,0,0
"Ericsson Party @ Beach Bar, RAI",52.341642,4.886576,0,0,0,0
Beatrixpark Aan Het Water,52.344876,4.87977193,0,0,0,0
Kostverlorenkade,52.32243807,4.891745443,0,0,0,0
marken volendam,52.33173967,4.891058621,0,0,0,0
Stokkenveldje & Horsies!,52.422249,4.892545,0,0,0,0
Puur Natuur Tuin,52.415477,4.893742,0,0,0,0
3 and a Crowd,52.42269307,4.897177219,0,0,0,0
Elwin Varkevisser Fotografie,52.41532687,4.892230667,0,0,0,0
Het Zonnehuis,52.41322926,4.891053329,0,0,0,0
Honkbalvereniging 'De Meteoor',52.41225966,4.894815327,0,0,0,0
Noorderlicht,52.39952185,4.896686204,0,0,0,0
Skatepark,52.40143,4.895369,0,0,0,0
Bunker (Helling 3),52.40062529,4.895589352,0,0,0,0
Driving North,52.399025,4.898911,0,0,0,0
NDSM theater ITW,52.40118825,4.896683693,0,0,0,0
Amsterdam Skatepark,52.39975808,4.896422762,0,0,0,0
NDSM Art Warp,52.40112869,4.895954557,0,0,0,0
Over het IJ Festival,52.39987903,4.895503521,0,0,0,0
"Silodam, steiger binnenhaven",52.39079202,4.890632629,0,0,0,0
Canal Motorboats,52.388282,4.890194,0,0,0,0
Westerdok,52.38583344,4.892127631,0,0,0,0
Vesper,52.38212226,4.886770248,0,0,0,0
De Oranjerie,52.38203404,4.886822779,0,0,0,0
Brouwersgracht,52.38057672,4.888422489,0,0,0,0
G's,52.38076009,4.88445282,0,0,0,0
EYE - Film Instituut Nederland,52.3843619,4.900782108,0,0,0,0
Barney's Coffeeshop Amsterdam,52.38057422,4.890859782,0,0,0,0
Lost in Amsterdam,52.3784192,4.895165,0,0,0,0
Nationaal Monument op de Dam,52.37282035,4.893682301,0,0,0,0
Basic Fit,52.3759907,4.894607183,0,0,0,0
BeerTemple,52.3719246,4.890460968,0,0,0,0
Bierfabriek,52.37050023,4.893063441,0,0,0,0
Bloemenmarkt,52.36677576,4.891340733,0,0,0,0
Heineken Experience,52.35774745,4.891587496,0,0,0,0
Foam Photography Museum,52.36401903,4.893149486,0,0,0,0
St. James' Gate,52.36601583,4.895541072,0,0,0,0
Knijn Bowling,52.34372962,4.891619682,0,0,0,0
Kingfisher Cafe,52.35681653,4.890671,0,0,0,0
De Pilsvogel,52.35587843,4.892879844,0,0,0,0
De Groene Vlinder,52.3555,4.89306,0,0,0,0
Flinck,52.3550097,4.893331009,0,0,0,0
Flamingo,52.355459,4.893106273,0,0,0,0
Twenty Third Bar,52.34858295,4.892767668,0,0,0,0
Okura Lobby Bar,52.34859635,4.893619,0,0,0,0
OldSchool,52.33756501,4.896282536,0,0,0,0
Weekend,52.33975719,4.892698984,0,0,0,0
Midgetgolf & Putting Greens Amstelpark,52.331976,4.89317,0,0,0,0
Tempo Team,52.33833356,4.897377402,0,0,0,0
Het Glazen Huis,52.32875662,4.892944135,0,0,0,0
Manege Equito,52.32230761,4.893728217,0,0,0,0
Rhodondendron Vallei,52.326521,4.891778,0,0,0,0
Riekermolen (Dutch Windmill),52.32430282,4.894139094,0,0,0,0
E&R,52.417909,4.901714,0,0,0,0
Dierendok,52.40646821,4.8957472,0,0,0,0
Openluchttheater Tuindorp Oostzaan,52.41020562,4.899917182,0,0,0,0
Verstuiverstraat,52.410186,4.902252,0,0,0,0
Kromwijk Viewpoint,52.39842,4.891377,0,0,0,0
Kadoelen-Werf,52.4102315,4.905741279,0,0,0,0
Buiksloterbreek,52.4034531,4.906704426,0,0,0,0
Pluk de Nacht 2013,52.38931305,4.892600014,0,0,0,0
Het Stenen Hoofd,52.38939083,4.892735481,0,0,0,0
Bouw Pllek,52.39593655,4.900605302,0,0,0,0
Ace's Bonfire Beach,52.38839274,4.891817531,0,0,0,0
casa kommer en kwel,52.39017655,4.907133579,0,0,0,0
Toren,52.38369886,4.902227819,0,0,0,0
Het beste hoekje van Damsko,52.380131,4.891651,0,0,0,0
Renaissance Executive Lounge,52.37786927,4.894581327,0,0,0,0
De Ster,52.377845,4.896184,0,0,0,0
Club Binnenvisser,52.37953226,4.892689991,0,0,0,0
Blarney Stone,52.37833897,4.895457781,0,0,0,0
Het IJ,52.38126491,4.900806817,0,0,0,0
Proeflokaal de Prael,52.37556479,4.899365902,0,0,0,0
Durty Nelly's Irish Bar & Hostel,52.37410517,4.896522538,0,0,0,0
Slainte Irish Pub,52.37469264,4.897306954,0,0,0,0
Waterlooplein,52.36830592,4.901959374,0,0,0,0
Het Rembrandthuis,52.369463,4.901366,0,0,0,0
Ice Bar,52.36654161,4.900150849,0,0,0,0
Frederiksplein,52.36032248,4.899601936,0,0,0,0
Menno & Rosie's Cantina,52.358105,4.896781,0,0,0,0
De Mirandabad,52.33924518,4.902669429,0,0,0,0
Fit & Fruitig Personal Training,52.34685928,4.901817808,0,0,0,0
Chocolate Bar,52.35514607,4.892992973,0,0,0,0
Oranjekerk,52.35286564,4.894967079,0,0,0,0
Zorgvlied,52.33525325,4.904520385,0,0,0,0
Cafe Amsterdam,52.341735,4.887737,0,0,0,0
Shamajo fair (Kermis voor meervoudig beperkte mensen),52.32878802,4.892667547,0,0,0,0
De Riekermolen,52.32408316,4.89442011,0,0,0,0
Rembrandt Beeld,52.32372158,4.894627977,0,0,0,0
De Grote Bocht,52.32444578,4.897114253,0,0,0,0
Klarenbeek 1604 a/h Water,52.32210784,4.898052594,0,0,0,0
stal peereboom,52.32202148,4.899494648,0,0,0,0
oranjevelt,52.32323868,4.896369414,0,0,0,0
Palingsteiger,52.33424842,4.90454793,0,0,0,0
Mob! Lounge,52.336091,4.886453,0,0,0,0
Stichting Ponyclub Floradorp,52.4119037,4.913035971,0,0,0,0
Scheepsbouwweg,52.407791,4.899993,0,0,0,0
Kinderboerderij Het Dierenhok,52.406581,4.896953,0,0,0,0
Amsterdamse Mixed Hockeyclub FIT,52.41416046,4.914858341,0,0,0,0
turner stable,52.41192455,4.912682225,0,0,0,0
Hockey FIT AMHC,52.411908,4.914406,0,0,0,0
City Camping,52.39783624,4.900886151,0,0,0,0
Club De Loods,52.39520044,4.911034199,0,0,0,0
Kanka Lounge,52.390702,4.911543,0,0,0,0
TENT circustheater producties,52.391113,4.905252,0,0,0,0
King William The III,52.39212985,4.911111356,0,0,0,0
Decibel,52.38888577,4.906056671,0,0,0,0
Danszaal Eddy Spier,52.394159,4.911255,0,0,0,0
In Case Of Fire,52.391527,4.890729,0,0,0,0
Pluk de Nacht,52.38946779,4.892569782,0,0,0,0
Basketbalveld,52.387454,4.911454,0,0,0,0
IJplein,52.38229253,4.909579754,0,0,0,0
Open Coop,52.38404481,4.905899329,0,0,0,0
Coffeeshop Resin,52.377524,4.895433,0,0,0,0
The Flying Dutchman,52.377768,4.896182,0,0,0,0
Oude Kerk,52.37410341,4.89818866,0,0,0,0
Natura Artis Magistra,52.36695591,4.913675487,0,0,0,0
The Old Bell,52.36584386,4.897418618,0,0,0,0
De Kleine Komedie,52.367063,4.895987,0,0,0,0
Mulligans Irish Bar,52.36708149,4.896723938,0,0,0,0
Amsterdam Canal Cruises,52.358271,4.891675,0,0,0,0
Doka,52.35280011,4.91256237,0,0,0,0
Amstel,52.34978555,4.911103249,0,0,0,0
Martin Luther Kingpark,52.34039981,4.910931587,0,0,0,0
Yorbody LadyFit,52.34460518,4.905482027,0,0,0,0
Cafe Ruis,52.35172051,4.894834,0,0,0,0
de zotte lotte,52.356,4.8927,0,0,0,0
Silverstone karting,52.32899063,4.908134221,0,0,0,0
Mercure Bar Amsterdam City Centre,52.335137,4.913585,0,0,0,0
Cafe Correct,52.34013026,4.909328382,0,0,0,0
Rups,52.34081933,4.91256237,0,0,0,0
De Rustige Tobbe,52.343756,4.895358,0,0,0,0
survival vereniging APGS,52.32862549,4.903432131,0,0,0,0
Mini Dierentuin,52.32935577,4.894802039,0,0,0,0
Amstel Glorie Volkstuinpark,52.33307749,4.908518141,0,0,0,0
Bar Brandsma,52.32632833,4.884896663,0,0,0,0
Amstelglorie,52.33191412,4.913980045,0,0,0,0
Bentley's Paradise,52.327519,4.882655,0,0,0,0
Poseidon,52.33724135,4.908478941,0,0,0,0
Winkelcentrum Banne Centrum,52.4075506,4.91687333,0,0,0,0
Bezaanjachtplein,52.40740765,4.916815222,0,0,0,0
Honden uitlaat zone,52.41200087,4.915587902,0,0,0,0
bart & margreets boot,52.40531202,4.904376268,0,0,0,0
Aakhof,52.40634872,4.913494009,0,0,0,0
In de Ban,52.40644949,4.917171874,0,0,0,0
Floraparkbad,52.39882234,4.91873257,0,0,0,0
Buiksloterkerk,52.40184977,4.916093345,0,0,0,0
De Nieuwe Noorder,52.40670335,4.926608967,0,0,0,0
Buiksloterkerkpad,52.40465657,4.916827433,0,0,0,0
Buiksloterkerk,52.401791,4.916426,0,0,0,0
Noorderbegraafplaats,52.40601237,4.927325249,0,0,0,0
Amsterdam North Stars,52.40350421,4.921781076,0,0,0,0
Tyler's beer house,52.39941406,4.92028904,0,0,0,0
Noorderparkbar,52.395043,4.920325,0,0,0,0
De Bult,52.3915088,4.913054384,0,0,0,0
Noorderpark Festival,52.39497165,4.919605615,0,0,0,0
Florapark,52.39472036,4.919793606,0,0,0,0
Noorderparkkamer,52.395159,4.920231027,0,0,0,0
asv DWV,52.400291,4.925966,0,0,0,0
AV Atos,52.40175248,4.926411388,0,0,0,0
Cafe Ot En Sien,52.38770149,4.914278984,0,0,0,0
Cinema 3,52.38458032,4.901417341,0,0,0,0
Mazazik,52.38566474,4.914116799,0,0,0,0
Sixhaven,52.38223359,4.906307459,0,0,0,0
IJpromenade,52.38624699,4.89965778,0,0,0,0
Troppenmuseum,52.38481746,4.91641577,0,0,0,0
Cinema 2 Eye,52.38408318,4.900429269,0,0,0,0
Eye Amsterdam,52.38702,4.89573,0,0,0,0
Cinema 1 Eye,52.383834,4.901146,0,0,0,0
Ateliers Westerdok,52.38437499,4.891705513,0,0,0,0
'Skek,52.376114,4.900325,0,0,0,0
Kromhouthal (De Overkant),52.38279024,4.920651913,0,0,0,0
In 't Aepjen,52.3763628,4.900011978,0,0,0,0
Casablanca,52.37556641,4.900704905,0,0,0,0
Teasers,52.37583713,4.896617861,0,0,0,0
Museum Ons' Lieve Heer op Solder,52.37500655,4.89942941,0,0,0,0
The Tara Irish Pub,52.370288,4.892854,0,0,0,0
Artis Aquarium,52.36460075,4.917851686,0,0,0,0
De Amstel,52.35523781,4.90666151,0,0,0,0
De LAX,52.34615471,4.916768074,0,0,0,0
De Ruyschkamer,52.35696159,4.909244803,0,0,0,0
Henry's Bar,52.358167,4.917765,0,0,0,0
Julianapark,52.34650962,4.922139326,0,0,0,0
Midnight IDM Bench,52.348753,4.908684843,0,0,0,0
Poledance Factory,52.33497057,4.92036444,0,0,0,0
Studio Tuari,52.34985228,4.912435289,0,0,0,0
Borssenburgplein,52.34868714,4.90741147,0,0,0,0
Weesperkade,52.34994284,4.912176132,0,0,0,0
Hotel Okura Main Kitchen,52.34733088,4.891351371,0,0,0,0
Gym - mercury hotel,52.33529298,4.913558047,0,0,0,0
Melodyline,52.33382841,4.916741904,0,0,0,0
Brasa Dance Studios,52.334395,4.917059,0,0,0,0
Bijlmerbad,52.34031001,4.920718394,0,0,0,0
Swing Latino/BrasaZouk,52.33445995,4.917026841,0,0,0,0
Studio 7,52.340457,4.91184,0,0,0,0
"Jachthaven ""De Omval""",52.341881,4.917725,0,0,0,0
Bordeel Greetig,52.340805,4.910279,0,0,0,0
BadBuiten,52.34071242,4.916434253,0,0,0,0
Jasper & Soof,52.34440475,4.904914906,0,0,0,0
1Jin Sista's Dance Floor,52.344001,4.915649,0,0,0,0
AAG,52.344095,4.902747,0,0,0,0
Park Lekstraat/Hunzestraat,52.344603,4.904245,0,0,0,0
BBK,52.342728,4.898569,0,0,0,0
Amstel Skatebaan,52.34296929,4.920887947,0,0,0,0
BrasaZouk,52.33370499,4.916736345,0,0,0,0
De Vijver,52.334767,4.910697,0,0,0,0
Rick's Afscheidsreceptie,52.32894084,4.908085415,0,0,0,0
Japanse Tuin,52.33046789,4.894849062,0,0,0,0
Zorglandgoed Klarenbeek,52.328057,4.900951,0,0,0,0
Giessenburg 46,52.41323319,4.925432751,0,0,0,0
Clubhouse Amsterdam,52.409261,4.925967,0,0,0,0
De Volewijckers,52.40264203,4.920516345,0,0,0,0
Dillan's Bday Temple,52.401966,4.909826,0,0,0,0
De Buiktuin,52.40203,4.923025,0,0,0,0
Huize Antonius,52.39914382,4.910580126,0,0,0,0
Moestuin,52.39768803,4.922041297,0,0,0,0
Iamsterdam Vliegenbos,52.3904915,4.925329166,0,0,0,0
Noorderpark Bankje,52.391047,4.918606,0,0,0,0
Buiten,52.39370367,4.926799536,0,0,0,0
Eurotour,52.395986,4.929047,0,0,0,0
The Sand Amsterdam,52.38027095,4.906120004,0,0,0,0
W.H. Vliegenbos,52.38992774,4.930715561,0,0,0,0
Camping Vliegenbos,52.39062286,4.928424527,0,0,0,0
Stork Fabriek,52.382292,4.920816,0,0,0,0
A-Film Screeningroom,52.385263,4.921637,0,0,0,0
Finish Lady's run,52.38576508,4.911056042,0,0,0,0
Volkstuinencomplex Buitenzorg,52.38848581,4.927758839,0,0,0,0
Kop van Java-eiland,52.37950267,4.918055534,0,0,0,0
De Klimmuur,52.37657119,4.91172583,0,0,0,0
RIDE,52.37694841,4.920480251,0,0,0,0
Lovers Powerzone,52.3776754,4.909487298,0,0,0,0
Executive Lounge,52.37651628,4.905229445,0,0,0,0
Monk Bouldergym Amsterdam,52.38352306,4.929306015,0,0,0,0
Silk Bar,52.37736126,4.913499227,0,0,0,0
BovenNEMO,52.374163,4.91235273,0,0,0,0
M-Lab,52.383482,4.92893945,0,0,0,0
Vodafone Dakterras,52.37669294,4.905860703,0,0,0,0
double tree street terrace,52.37662218,4.905553372,0,0,0,0
Lobby Bar,52.37666,4.905457,0,0,0,0
I Am Expat,52.381223,4.898945,0,0,0,0
Oosterdok,52.3739617,4.909815788,0,0,0,0
ARCAM,52.37145625,4.912632108,0,0,0,0
Brouwerij 't IJ,52.36663819,4.926306009,0,0,0,0
HPS,52.37170189,4.907627106,0,0,0,0
Artis Planetarium,52.36727715,4.91325799,0,0,0,0
Gassan Diamonds,52.36962454,4.903713205,0,0,0,0
